TimeCreated,Id,LevelDisplayName,ProviderName,Message
2024-11-14 10:00:01,4625,Warning,Security,Failed login attempt for user JohnDoe
2024-11-14 10:01:30,4625,Warning,Security,Failed login attempt for user JohnDoe
2024-11-14 10:03:15,4625,Warning,Security,Failed login attempt for user JohnDoe
2024-11-14 10:05:45,4625,Warning,Security,Failed login attempt for user JohnDoe
2024-11-14 10:06:50,4625,Warning,Security,Failed login attempt for user JohnDoe
2024-11-14 10:20:25,4625,Warning,Security,Failed login attempt for user JaneSmith
2024-11-14 10:21:10,4625,Warning,Security,Failed login attempt for user JaneSmith
2024-11-14 10:22:05,4625,Warning,Security,Failed login attempt for user JaneSmith
2024-11-14 10:23:30,4625,Warning,Security,Failed login attempt for user JaneSmith
2024-11-14 10:24:50,4625,Warning,Security,Failed login attempt for user JaneSmith
2024-11-14 10:30:00,4625,Warning,Security,Failed login attempt for user JaneSmith
2024-11-14 10:35:00,4624,Information,Security,Successful login for user JohnDoe
2024-11-14 10:50:00,4624,Information,Security,Successful login for user JaneSmith
2024-11-14 12:00:00,4719,Information,Security,Audit policy changed: Enabling auditing for logon events
2024-11-14 12:05:00,4719,Information,Security,Audit policy changed: Disabling auditing for logoff events
2024-11-14 12:10:00,4719,Information,Security,Audit policy changed: Modifying policy for failed login attempts
2024-11-14 11:00:00,4648,Information,Security,Unauthorized access attempt detected on resource XYZ
2024-11-14 11:10:15,4673,Critical,Security,Privilege escalation attempt detected on user account Admin123

2024-11-14 14:00:00,4624,Information,Security,Successful remote desktop login for user JohnDoe (Logon Type: 10)
2024-11-14 14:15:30,4624,Information,Security,Successful remote desktop login for user JaneSmith (Logon Type: 10)
2024-11-14 14:30:00,4624,Information,Security,Successful remote desktop login for user AliceBrown (Logon Type: 10)

2024-11-14 10:45:00,4663,Warning,Security,Unauthorized access attempt to file C:\\Documents\\SensitiveFile.txt (Accesses: ReadData, DENIED)
2024-11-14 10:50:30,4663,Warning,Security,Unauthorized access attempt to folder C:\\Users\\JohnDoe\\PrivateFolder (Accesses: WriteData, DENIED)




